Plot,Cell_type,Variant,IL,A,pSTAT
1,ACH-000049,WT,6e-12,2.905994765122928e-12,98.84454114213753
1,ACH-000049,WT,6e-12,8.316257229465546e-12,94.3700941625725
1,ACH-000049,WT,6e-12,2.4216231222429423e-11,86.81117149973382
1,ACH-000049,WT,6e-12,7.234067781672831e-11,71.19870870322815
1,ACH-000049,WT,6e-12,2.1743357348044323e-10,36.90987502130355
1,ACH-000049,WT,6e-12,6.484619893543879e-10,10.160225746339552
1,ACH-000049,WT,6e-12,1.9744506853e-09,2.9431564058941957
1,ACH-000049,WT,6e-12,5.8582386531e-09,1.5521899034241358
1,ACH-000049,39:113,6e-12,2.905846922413715e-12,98.50185848126189
1,ACH-000049,39:113,6e-12,8.31329604982301e-12,91.97131553644302
1,ACH-000049,39:113,6e-12,2.4166999974242535e-11,73.10386506470815
1,ACH-000049,39:113,6e-12,7.33617759816514e-11,45.49717740216208
1,ACH-000049,39:113,6e-12,2.1868442426683589e-10,15.492042848879475
1,ACH-000049,39:113,6e-12,6.656686347088285e-10,6.390218873618089
1,ACH-000049,39:113,6e-12,1.9745511407e-09,3.2858390667698383
1,ACH-000049,39:113,6e-12,6.1326380173e-09,9.604403095519459
1,ACH-000049,54:98,6e-12,2.8528190358168157e-12,94.56133961658492
1,ACH-000049,54:98,6e-12,7.951027647841268e-12,92.14348620536312
1,ACH-000049,54:98,6e-12,2.4619970950459563e-11,78.07243191201204
1,ACH-000049,54:98,6e-12,7.34159154731054e-11,50.466075984858904
1,ACH-000049,54:98,6e-12,2.2074961936566887e-10,18.74736225950162
1,ACH-000049,54:98,6e-12,6.715278277509863e-10,5.362005023294713
1,ACH-000049,54:98,6e-12,1.9392086743e-09,1.7440988282223513
1,ACH-000049,54:98,6e-12,5.8585367066e-09,1.894872564299768
1,ACH-000049,74:79,6e-12,2.90680803448769e-12,100.72929577695355
1,ACH-000049,74:79,6e-12,8.175511459301365e-12,99.51066581110007
1,ACH-000049,74:79,6e-12,2.4872081121012074e-11,86.63933256620662
1,ACH-000049,74:79,6e-12,7.164203111182175e-11,65.88729332735215
1,ACH-000049,74:79,6e-12,2.078897135118987e-10,34.85460839453198
1,ACH-000049,74:79,6e-12,6.716645012551519e-10,6.732735666797292
1,ACH-000049,74:79,6e-12,1.9224843611000002e-09,3.457678000297023
1,ACH-000049,74:79,6e-12,5.9666755874999995e-09,4.978684776787641
1,ACH-000049,87:66,6e-12,2.93343817434737e-12,102.09986055275968
1,ACH-000049,87:66,6e-12,8.109334278511874e-12,104.82241292236895
1,ACH-000049,87:66,6e-12,2.383183998455388e-11,99.14807902664982
1,ACH-000049,87:66,6e-12,7.125943206907071e-11,89.87524545634356
1,ACH-000049,87:66,6e-12,2.2056719201589567e-10,73.23407120642516
1,ACH-000049,87:66,6e-12,6.394525288628098e-10,36.033098377843416
1,ACH-000049,87:66,6e-12,1.9252739404e-09,13.224133835252823
1,ACH-000049,87:66,6e-12,5.9155181527e-09,7.034946609737953
1,ACH-000049,93:60,6e-12,2.8809326007828277e-12,100.55812031421219
1,ACH-000049,93:60,6e-12,7.991074456600991e-12,65.92809678068004
1,ACH-000049,93:60,6e-12,2.317127362545417e-11,29.926513265163045
1,ACH-000049,93:60,6e-12,6.979461874970073e-11,10.030351340015404
1,ACH-000049,93:60,6e-12,2.087561572233459e-10,2.813613734962966
1,ACH-000049,93:60,6e-12,6.475883065252593e-10,1.0791352331350268
1,ACH-000049,93:60,6e-12,1.9738480599000003e-09,0.8870604406403415
1,ACH-000049,93:60,6e-12,5.9132613825e-09,4.464826653170621
